LSDS LordSummerPlainDirtSmall
LSDM LordSummerPlainDirtMedium
LSDL LordSummerPlainDirtLarge
HCRT HumanCrater
UDSU UndeadUberSplat
DNCS DeathNeutralCityBuildingSmall
HMTP HumanMassTeleport
SCTP ScrollOfTownPortal
AMRC AmuletOfRecall
DRKC DarkConversion
DOSB DeathOrcSmallBuilding
DOMB DeathOrcMediumBuilding
DOLB DeathOrcLargeBuilding
DHSB DeathHumanSmallBuilding
DHMB DeathHumanMediumBuilding
DHLB DeathHumanLargeBuilding
DUSB DeathUndeadSmallBuilding
DUMB DeathUndeadMediumBuilding
DULB DeathUndeadLargeBuilding
DNSB DeathNightElfSmallBuilding
DNMB DeathNightElfMediumBuilding
DNSA DeathNightElfSmallAncient
DNMA DeathNightElfMediumAncient
HSMA HumanUberSplatSmall
HMED HumanUberSplatMedium
HLAR HumanUberSplatLarge
OSMA OrcUberSplatSmall
OMED OrcUberSplatMedium
OLAR OrcUberSplatLarge
USMA UndeadUberSplatSmall
UMED UndeadUberSplatMedium
ULAR UndeadUberSplatLarge
ESMA AncientUberSplatSmall
EMDA AncientUberSplatMedium
ESMB NightElfUberSplatSmall
EMDB NightElfUberSplatMedium
HTOW TownHallUberSplat
HCAS CastleUberSplat
NGOL GoldmineUberSplat
THND ThunderClap
NDGS DemonGateSplat
CLTS ThornyShieldSplat
HFS1 HumanFlameStrike1
HFS2 HumanFlameStrike2
USBR Burrow
NLAR NagaUberSplatLarge
NMED NagaUberSplatMedium
DPSW DarkPortalSWsplat
DPSE DarkPortalSEsplat
